administrative,administrative_duration,informational,informational_duration,productrelated,productrelated_duration,bouncerates,exitrates,pagevalues,specialday,month,operatingsystems,browser,region,traffictype,visitortype,weekend,revenue,operatingsystems_missing,browser_missing,traffictype_missing
0,0.0,0,0.0,4,181.5,0.0,0.05,0.0,0.0,9,2,2,8,2,Returning_Visitor,0,0,0,0,0
5,212.83333330000002,4,44.5,61,3725.3899049999995,0.027777839,0.02739338,1.496439934,0.0,5,2,2,8,2,Returning_Visitor,0,1,0,0,0
0,0.0,0,0.0,1,1171.3,0.0,0.022222222000000003,0.0,0.0,11,1,1,1,1,Returning_Visitor,1,0,0,0,0
3,317.5,0,0.0,79,506.96666669999996,0.0,0.009512079,11.818986099999998,0.0,8,2,2,4,2,Returning_Visitor,0,1,0,0,0
0,0.0,0,0.0,92,3415.818875,0.01,0.028822967999999997,0.0,0.0,11,2,2,3,2,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,9,58.875,0.0,0.022222222000000003,0.0,0.0,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
8,341.9241419,3,365.0,40,1794.2346149999998,0.009697965,0.023484663,35.9075001,0.0,8,2,2,1,2,Returning_Visitor,0,0,0,0,0
3,56.0,0,0.0,21,836.15,0.023706671000000002,0.054877475999999994,0.0,0.0,5,1,1,2,1,Returning_Visitor,0,0,0,0,0
1,18.0,0,0.0,24,872.5,0.032952191,0.064180843,0.0,0.0,5,5,5,1,5,Returning_Visitor,0,0,0,0,0
1,45.0,0,0.0,2,145.25,0.0,0.0,0.0,0.0,5,2,2,3,2,Returning_Visitor,0,0,0,0,0
3,166.7,0,0.0,12,197.5,0.0,0.013333333000000001,59.17015817,0.0,10,1,1,4,1,New_Visitor,0,1,0,0,0
0,0.0,1,8.75,11,187.5,0.0,0.018191429,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
1,218.1333233,0,0.0,18,344.8333333,0.0,0.029747742999999997,0.0,0.8,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
3,79.5,0,0.0,61,916.26,0.012526311000000002,0.046485926,0.0,0.2,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
4,74.41666667,0,0.0,14,255.3666667,0.011511215,0.04280768,0.0,0.0,3,2,2,6,2,Returning_Visitor,0,0,0,0,0
0,0.0,1,6.0,5,132.75,0.05,0.087842857,0.0,0.0,5,2,2,6,2,Returning_Visitor,0,0,0,0,0
2,63.4,0,0.0,30,1806.4666670000001,0.005772234,0.014438936000000001,21.99430191,0.0,10,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,2,13.7,0.15,0.133333333,0.0,0.4,5,1,1,1,1,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,26,1795.625,0.038261259,0.024014398,0.0,0.0,5,2,2,3,2,Returning_Visitor,0,0,0,0,0
3,198.6,0,0.0,14,561.3383332999999,0.0,0.015384615,33.0800967,0.0,7,2,2,9,2,New_Visitor,0,1,0,0,0
5,197.5,3,120.5,23,584.1,0.0,0.012570439,16.02145516,0.0,3,2,2,4,2,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,1,1,3,1,Returning_Visitor,1,0,0,0,1
0,0.0,0,0.0,17,702.8333332999999,0.022222222000000003,0.044441445,0.0,0.0,5,2,2,8,2,Returning_Visitor,0,0,0,0,0
5,60.8,0,0.0,26,1606.25,0.006090909,0.020439771000000002,0.0,0.0,7,2,2,9,2,Returning_Visitor,0,0,0,0,0
15,185.5,0,0.0,28,506.74666669999993,0.006461903000000001,0.021289482000000002,0.0,0.0,11,2,2,4,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,3,1,1,4,1,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,17,1287.0,0.066666667,0.138578429,0.0,0.0,5,2,2,3,2,Returning_Visitor,1,0,0,0,0
4,55.5,1,13.0,186,4524.877478,0.001458887,0.025606753,0.0,0.2,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
1,0.0,0,0.0,17,92.71666667,0.0,0.038071429,0.0,0.0,12,2,2,4,2,Returning_Visitor,1,0,0,0,0
8,103.9309143,0,0.0,66,1544.409561,0.0,0.0018572760000000002,7.722308945,0.0,11,2,2,3,2,Returning_Visitor,0,1,0,0,0
6,316.52128270000003,0,0.0,121,4304.822676,0.002456429,0.017460111,1.233422112,0.0,6,4,4,2,4,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,17,729.9083333,0.0,0.001616667,0.0,0.0,6,2,2,4,2,Returning_Visitor,0,0,0,0,0
12,734.5,3,64.0,22,456.35,0.0,0.006,7.3988452670000004,0.0,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
2,60.0,2,230.0,52,2889.203881,0.002589803,0.03032998,0.0,0.0,12,5,5,1,5,Returning_Visitor,1,0,0,0,0
7,105.1,0,0.0,94,1993.8333329999998,0.0035084770000000003,0.021211987999999998,11.9291588,0.2,5,2,2,5,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,3,99.0,0.0,0.066666667,0.0,0.0,12,8,8,4,8,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,14,494.5,0.0,0.03,44.36565,0.0,5,2,2,7,2,New_Visitor,0,0,0,0,0
0,0.0,0,0.0,18,1284.583333,0.0016968520000000002,0.05,0.0,0.0,3,1,1,1,1,Returning_Visitor,1,0,0,0,0
1,164.0,2,34.0,12,225.0,0.0,0.017547478000000002,0.0,0.0,11,2,2,3,2,New_Visitor,0,0,0,0,0
4,254.5,0,0.0,28,1162.333333,0.0065714269999999995,0.004362144,7.3101248629999995,0.0,5,2,2,2,2,Returning_Visitor,1,0,0,0,0
0,0.0,2,390.5,18,672.85,0.0,0.022222222000000003,0.0,0.0,12,2,2,2,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,53,418.1833333,0.034615606,0.039643647000000004,0.0,0.0,7,2,2,1,2,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,37,1213.0,0.00225,0.01625,0.0,0.0,3,2,2,1,2,Returning_Visitor,1,0,0,0,0
2,21.0,0,0.0,20,442.16666669999995,0.0071528569999999994,0.02705453,0.0,0.0,11,5,5,3,5,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,8,592.4,0.0,0.025,0.0,0.0,5,1,1,3,1,Returning_Visitor,0,0,0,0,0
3,26.2,0,0.0,56,1798.481484,0.065166297,0.046316987000000004,0.0,0.0,6,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,7,187.0,0.0,0.018181818,0.0,0.0,11,2,2,9,2,Returning_Visitor,0,0,0,0,0
2,155.0,0,0.0,47,411.6666667,0.004121855,0.029466607000000002,0.0,0.4,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,3,2,Returning_Visitor,0,0,0,0,0
4,44.8,0,0.0,25,1585.516667,0.0,0.008598409,0.0,0.0,6,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,5,216.0,0.028571448,0.044225215,0.0,0.0,3,2,2,6,2,Returning_Visitor,0,0,0,0,0
5,172.5,2,25.0,90,1996.4581829999997,0.018956876,0.032067635,0.0,0.0,11,10,10,1,10,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,5,91.5,0.0,0.066666667,0.0,0.0,11,2,2,9,2,Returning_Visitor,0,0,0,0,0
7,301.0649454,9,220.1333333,54,1449.780342,0.026228199999999997,0.041738542999999996,6.103392861000001,0.0,11,1,1,4,1,Returning_Visitor,0,0,0,0,0
7,316.7,0,0.0,8,231.0,0.0,0.016666667,0.0,0.0,3,2,2,3,2,New_Visitor,0,0,0,0,0
2,164.0,0,0.0,13,291.0,0.0,0.004045655,29.96629144,0.0,5,2,2,4,2,New_Visitor,0,1,0,0,0
8,103.625,1,27.5,68,2507.475133,0.004335337,0.011376045,0.0,0.0,11,3,3,1,3,Returning_Visitor,1,0,0,0,0
11,102.5,2,69.0,183,2058.976084,0.014542754,0.017782801,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,38,822.2438195000001,0.007769705,0.020810226,4.960084999999999,0.0,5,2,2,5,2,Returning_Visitor,0,0,0,0,0
0,0.0,2,4.0,54,1621.097448,0.008098856,0.044523915,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
4,184.3,5,258.5,60,2349.9633329999997,0.005578409,0.0067173730000000004,13.32210222,0.0,3,1,1,2,1,Returning_Visitor,0,0,0,0,0
9,79.6,0,0.0,26,1090.727427,0.0224,0.035434286,8.996864635,0.0,3,2,2,2,2,Returning_Visitor,0,1,0,0,0
0,0.0,0,0.0,5,101.0,0.0,0.066666667,0.0,0.0,3,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,7,391.5,0.0,0.016666667,0.0,0.8,5,5,5,7,5,New_Visitor,0,0,0,0,0
2,118.2,0,0.0,31,779.0225477999999,0.01961947,0.027570359,0.0,0.0,11,1,1,8,1,Returning_Visitor,1,0,0,0,0
3,153.2,2,44.0,14,526.5333333000001,0.0,0.003333333,68.25641667,0.0,10,2,2,1,2,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,8,1,1,1,1,Returning_Visitor,0,0,0,0,0
13,468.8166666999999,2,263.64,157,7319.161684999999,0.007550940999999999,0.017885874,31.66476597,0.0,7,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,1,358.5,0.0,0.025555556,0.0,0.0,12,7,7,9,7,Returning_Visitor,0,0,0,0,0
1,41.6,0,0.0,77,1674.04,0.001910611,0.012303989,5.166198795,0.0,11,1,1,1,1,Returning_Visitor,0,1,0,0,0
0,0.0,0,0.0,8,189.5,0.025,0.014285714,0.0,0.0,3,1,1,3,1,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,11,254.9,0.0,0.04,0.0,0.0,11,6,6,6,6,Returning_Visitor,0,0,0,0,0
2,120.8,4,604.6666667000001,92,1885.913075,0.012583313999999998,0.023205974,0.0,0.0,5,2,2,2,2,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,2,210.16666669999998,0.0,0.04,0.0,0.0,5,2,2,5,2,Returning_Visitor,0,0,0,0,0
4,61.8,0,0.0,23,1238.08,0.0061101409999999995,0.069454958,0.0,0.0,10,2,2,2,2,Returning_Visitor,0,0,0,0,0
0,0.0,6,251.66666669999998,55,1086.000514,0.001254162,0.009050062,0.0,0.0,12,2,2,6,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,8,314.0,0.0,0.028441578999999998,0.0,0.0,5,2,2,4,2,Returning_Visitor,1,0,0,0,0
9,187.83333330000002,3,1659.733333,48,3746.432105,0.0,0.016042736000000002,3.343364645,0.0,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,12,0.0,0.2,0.2,0.0,0.0,3,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,4,142.0,0.0,0.047122222000000005,0.0,0.0,3,2,2,8,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,20,621.1833333,0.02945957,0.044461444,0.0,0.0,5,2,2,3,2,Returning_Visitor,0,0,0,0,0
5,51.1,0,0.0,7,164.8,0.0,0.047942529000000005,0.0,0.0,8,2,2,4,2,New_Visitor,0,0,0,0,0
10,248.4751653,1,41.75,63,778.2131042999999,0.009425852,0.002880932,16.20243196,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
3,188.0,3,39.5,28,504.6458431,0.013773786000000001,0.023986427,3.936913933,0.0,11,1,1,5,1,Returning_Visitor,1,1,0,0,0
1,3.5,0,0.0,15,1902.75,0.0,0.027777778,24.62874452,0.0,5,2,2,4,2,New_Visitor,0,0,0,0,0
3,142.3,0,0.0,37,915.8666667000001,0.015,0.023333332999999998,15.28914358,0.0,11,2,2,1,2,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,17,289.0,0.018515118,0.081946752,0.0,0.8,5,2,2,2,2,Returning_Visitor,0,0,0,0,1
0,0.0,0,0.0,25,668.8333332999999,0.0,0.013333333000000001,0.0,0.0,9,1,1,5,1,New_Visitor,0,0,0,0,0
12,256.4333333,4,263.1166667,152,6879.489628,0.005287211,0.015235091000000001,18.58133101,0.0,11,7,7,1,7,Returning_Visitor,0,1,0,0,0
0,0.0,0,0.0,38,666.35,0.0,0.006,0.0,0.8,2,5,5,4,5,Returning_Visitor,0,0,0,0,0
3,32.5,0,0.0,28,3255.569048,0.017347841,0.030623737999999998,9.775645872,0.0,11,2,2,8,2,Returning_Visitor,0,1,0,0,0
0,0.0,1,29.0,1,0.0,0.0,0.033333333,0.0,0.0,12,2,2,1,2,New_Visitor,1,0,0,0,0
0,0.0,0,0.0,7,8.0,0.0,0.02,0.0,0.0,5,2,2,2,2,Returning_Visitor,1,0,0,0,0
1,4.0,0,0.0,19,889.8833332999999,0.009190845999999999,0.024238785,0.0,0.0,7,2,2,5,2,Returning_Visitor,1,0,0,0,0
4,43.0,1,19.0,22,606.5,0.0060406190000000005,0.017666667,13.11406014,0.0,3,1,1,4,1,Returning_Visitor,0,1,0,0,0
7,425.0,0,0.0,34,2470.953333,0.011448475,0.022375876,14.85710831,0.0,12,2,2,8,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,6,113.33333329999999,0.0,0.04,0.0,0.0,3,4,4,4,4,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,11,65.64666667,0.016666667,0.066250006,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,7,140.5,0.0,0.027272728,0.0,0.0,2,2,2,6,2,Returning_Visitor,0,0,0,0,0
2,43.5,0,0.0,85,1332.187409,0.0,0.006625855,0.0,0.0,12,2,2,3,2,New_Visitor,0,0,0,0,0
16,180.37222219999998,9,266.75,78,1998.866755,0.008384651,0.024297535,5.967872452000001,0.0,7,2,2,5,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,16,363.4,0.0,0.028571429,0.0,0.0,10,2,2,1,2,Returning_Visitor,1,0,0,0,0
3,116.5,1,118.5,176,4706.426395,0.011460061,0.019881543999999998,14.63645899,0.0,11,2,2,3,2,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,28,1342.416667,0.003330333,0.005839353,0.0,0.0,11,1,1,9,1,New_Visitor,0,0,0,0,0
3,53.5,0,0.0,15,1006.6,0.0,0.04,0.0,0.0,12,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,11,300.0,0.0,0.0,0.0,0.0,3,2,2,4,2,Returning_Visitor,0,0,0,0,0
8,170.25,1,1470.0,61,3709.3955560000004,0.004314711,0.0057262780000000004,0.0,0.0,3,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,6,509.3033333000001,12,343.46666669999996,0.0,0.006262686999999999,0.0,0.0,12,4,4,1,4,New_Visitor,0,0,0,0,0
0,0.0,0,0.0,2,54.5,0.04,0.093333333,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,1,0,0,0
6,155.2,2,12.0,14,239.835,0.0,0.016666667,0.0,0.0,7,5,5,5,5,New_Visitor,0,0,0,0,0
0,0.0,2,26.0,5,403.2,0.0,0.019696667,42.167871000000005,0.0,12,1,1,9,1,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,28,934.9522427,0.042357103,0.040508277,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
2,18.0,0,0.0,62,391.1307143,0.004,0.027142857000000003,54.19041726,0.0,11,1,1,3,1,Returning_Visitor,0,0,0,0,0
3,291.25,0,0.0,40,529.9333333000001,0.005959596,0.068389735,0.0,0.0,12,4,4,3,4,Returning_Visitor,0,0,0,0,0
4,173.4,0,0.0,30,939.1235704,0.004861815,0.014085213999999999,72.63224617,0.0,10,1,1,1,1,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,3,129.0,0.0,0.025,0.0,0.0,11,8,8,9,8,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,44,1420.116667,0.01,0.029630916,5.827061821,0.0,5,1,1,2,1,Returning_Visitor,0,1,0,0,0
0,0.0,0,0.0,8,108.0,0.0,0.02,0.0,0.6,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
2,44.0,0,0.0,24,1331.966667,0.0,0.005456546,48.74778834,0.0,11,2,2,5,2,Returning_Visitor,0,0,0,0,0
2,17.0,0,0.0,11,393.75,0.016111117,0.028871429,0.0,0.8,5,2,2,4,2,Returning_Visitor,0,0,0,0,0
3,156.1,0,0.0,6,770.7,0.0,0.010717286000000001,0.0,0.0,9,5,5,5,5,Returning_Visitor,1,0,0,0,0
4,1312.65,0,0.0,5,109.5,0.025,0.1,0.0,0.0,11,1,1,4,1,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,11,409.53333330000004,0.0,0.03,0.0,0.0,5,2,2,6,2,Returning_Visitor,1,0,0,0,0
0,0.0,1,28.73333333,14,72.57580899999999,0.0,0.005363631,0.0,0.0,8,2,2,5,2,New_Visitor,0,1,0,0,0
2,64.5,0,0.0,81,2257.7688190000003,0.007317015,0.017513686,0.0,0.0,5,4,4,1,4,Returning_Visitor,0,0,0,0,0
12,218.65,3,355.7333333,84,2841.6325829999996,0.000709586,0.022568467999999998,0.0,0.0,12,2,2,3,2,Returning_Visitor,0,0,0,0,0
3,297.25,1,0.0,10,180.16666669999998,0.0,0.019230759,0.0,0.0,9,2,2,1,2,New_Visitor,0,0,0,0,0
13,274.30855539999993,3,184.0,250,6845.905266,0.003668556,0.015676047,1.6412580069999998,0.0,12,1,1,7,1,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,6,159.5,0.0,0.05,0.0,0.0,9,7,7,2,7,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,2,12.5,0.0,0.066666667,0.0,0.0,12,2,2,4,2,Returning_Visitor,1,0,0,0,0
8,31.25,3,54.66666667,39,591.6085887,0.0,0.009267208,41.32045166,0.0,10,2,2,3,2,Returning_Visitor,0,0,0,0,0
5,555.5,0,0.0,64,841.6620493999999,0.0,0.002933323,20.751448100000005,0.0,12,1,1,1,1,Returning_Visitor,0,1,0,0,0
0,0.0,0,0.0,11,0.0,0.2,0.2,0.0,0.0,3,2,2,9,2,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,6,291.1666667,0.0,0.022222222000000003,46.22929928,0.0,11,2,2,1,2,Returning_Visitor,0,1,0,0,0
0,0.0,0,0.0,6,53.8,0.0,0.016666667,0.0,0.0,7,2,2,8,2,New_Visitor,0,0,0,0,0
6,123.25,0,0.0,118,2449.180566,0.011517481999999999,0.038844127,4.973361482,0.0,11,2,2,7,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,12,731.8333332999999,0.0,0.03,0.0,0.0,11,1,1,4,1,New_Visitor,0,0,0,0,0
0,0.0,0,0.0,89,4877.528959,0.015942051999999998,0.038304648999999996,0.0,0.0,11,1,1,1,1,Returning_Visitor,1,0,0,0,0
5,651.0616667,5,52.5,61,3522.3508850000003,0.003977575,0.028218953999999997,26.10431101,0.0,9,2,2,1,2,Returning_Visitor,0,0,0,0,0
2,18.75,0,0.0,78,655.7416667,0.0,0.002080303,0.0,0.0,11,10,10,3,10,Returning_Visitor,0,0,0,0,0
7,149.9833333,0,0.0,135,4914.32,0.0037784959999999997,0.033042353999999996,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
5,537.5,0,0.0,11,769.2833333,0.0,0.011754566000000001,0.0,0.0,12,2,2,3,2,New_Visitor,0,0,0,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
5,419.4216724,0,0.0,72,1948.63788,0.003705248,0.022899914,8.819728472000001,0.0,3,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,3,2,2,2,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,15,467.0,0.0,0.066666667,0.0,0.4,5,3,3,1,3,Returning_Visitor,0,0,0,0,0
0,0.0,1,5.0,1,0.0,0.2,0.2,0.0,0.0,11,2,2,4,2,New_Visitor,1,0,0,0,0
3,43.95,0,0.0,37,1360.725576,0.0,0.0012787830000000001,14.73422107,0.0,7,2,2,1,2,Returning_Visitor,0,1,0,0,0
2,30.0,0,0.0,7,297.1666667,0.0,0.025,51.66742926,0.0,12,1,1,9,1,Returning_Visitor,0,1,0,0,0
2,48.0,0,0.0,279,7146.653673999999,0.012238249,0.02608228,10.27540779,0.0,11,2,2,1,2,Returning_Visitor,1,0,0,0,0
16,265.1666667,4,252.41666669999998,45,1039.316667,0.008077529,0.015681,33.76042342,0.0,5,2,2,3,2,Returning_Visitor,0,0,0,0,0
2,46.5,0,0.0,35,864.6083332999999,0.014515316,0.034589557,0.0,0.2,5,4,4,2,4,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,3,416.75,0.083333333,0.078571429,0.0,0.0,10,1,1,3,1,Returning_Visitor,0,0,0,0,0
8,233.255,1,189.0,31,694.9176190000001,0.0,0.035939685,0.0,0.0,12,1,1,1,1,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,2,74.4,0.028571429,0.101215111,0.0,0.0,9,2,2,9,2,Returning_Visitor,0,0,0,0,0
2,38.0,3,66.65,245,7295.477454999999,0.011000863,0.023722286000000002,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
1,51.0,0,0.0,7,213.0,0.04,0.06333333299999999,0.0,0.2,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,17,2081.0,0.015188215,0.027272777999999998,0.0,0.6,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
1,0.0,0,0.0,3,35.33333333,0.0,0.01,0.0,0.0,12,2,2,7,2,New_Visitor,1,0,0,0,0
2,23.0,3,90.22,21,428.5,0.008333333,0.032210141,0.0,0.0,11,4,4,4,4,Returning_Visitor,1,0,0,0,0
1,38.5,0,0.0,36,898.0,0.01,0.010961188,0.0,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
1,52.4,2,68.2,38,673.8872038,0.0,0.007862652,0.0,0.0,12,2,2,8,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,3,112.66666670000001,0.0,0.04,0.0,0.8,5,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,1,0.0,0.05,0.1,0.0,0.8,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
4,111.81166670000002,0,0.0,94,2014.5083329999998,0.001,0.017244403999999998,0.0,0.0,12,2,2,3,2,Returning_Visitor,0,1,0,0,0
2,20.0,0,0.0,9,306.75,0.0,0.007107,0.0,0.0,11,2,2,9,2,New_Visitor,0,0,0,0,0
5,113.41666670000001,0,0.0,10,1342.575,0.0,0.011471521,0.0,0.0,5,2,2,3,2,New_Visitor,1,0,0,0,0
6,170.58333330000002,3,141.5,41,921.3902821,0.0026593479999999997,0.019622076999999998,5.6453118060000005,0.0,5,2,2,2,2,Returning_Visitor,0,1,0,0,0
5,319.099451,8,1367.75,65,2248.082859,0.018265768999999998,0.022348762,29.497384399999998,0.0,7,2,2,4,2,Returning_Visitor,1,0,0,0,0
2,16.0,1,108.8,113,5416.691065999999,0.006858731999999999,0.008530439,0.0,0.0,9,2,2,1,2,Returning_Visitor,1,0,0,0,1
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,3,2,2,4,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,24,456.33333330000005,0.0,0.04,98.6335473,0.0,12,2,2,2,2,Returning_Visitor,1,1,0,0,0
2,41.4,0,0.0,2,66.0,0.0,0.0,0.0,0.0,9,2,2,4,2,New_Visitor,1,0,0,0,0
0,0.0,0,0.0,2,227.66666669999998,0.0,0.028777777999999997,0.0,0.0,11,1,1,3,1,New_Visitor,0,0,0,0,0
2,26.0,0,0.0,81,2159.161971,0.0025000020000000003,0.022318418,0.0,0.0,12,2,2,2,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,11,1979.0,0.02,0.0977421,0.0,0.8,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
3,105.0,0,0.0,55,1317.355552,0.013488285,0.021762331,0.0,0.0,12,2,2,2,2,Returning_Visitor,1,0,0,0,0
2,158.0,2,4.0,27,1211.375262,0.006778783000000001,0.028697242999999997,18.0814776,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
9,57.5,0,0.0,86,2574.665362,0.002159108,0.004344031,0.0,0.0,11,2,2,4,2,Returning_Visitor,0,0,0,0,0
1,10.0,0,0.0,30,785.75,0.004245459,0.022107517,16.85508999,0.0,11,2,2,4,2,Returning_Visitor,1,1,0,0,0
1,17.0,0,0.0,8,132.0,0.025,0.05,0.0,0.0,3,1,1,7,1,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,4,49.0,0.0,0.066666667,0.0,0.0,5,4,4,1,4,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,2,736.0,0.0,0.1,0.0,0.0,3,1,1,4,1,Returning_Visitor,0,0,0,0,0
